docid,name,address,speciality
10001,Manish,jaipur,Diagnostic radiology
10002,Rahul,kanpur,Dermatology
10003,Aryan,nagpur,otolaryngologist
10004,Shivanshu,delhi,Anesthesiology
10005,Vikash,bhopal,Dentist
10006,Vineet,bandikui,Ophthalmology
10007,Heet,agra,Gynecology
10008,Abhijit,mumbai,Pediatrics
10009,Nikhil,pune,Pathology
10010,Aayush,kota,Psychiatry
10011,Jaideep,Bangalore,Urology
10012,Ashish,Hyderabad,Clinical Immunology
10013,Shekhar,Chennai,Orthopedic Surgery
10014,Keshav,Ahmedabad,Nephrology
10015,Krishna,kolkata,General
10016,Kashyap,Firozpur,Orthopedic Surgery
